,chart
29826, Ram Tej: I was sleeping
29827, pooja07: So that u can't shout at me
29828, Ram Tej: Promiss
29829, pooja07: Then sleep
29830,pooja07: Hi
29831,pooja07: I slept off
29832, pooja07: Bee
29833, pooja07: Bee
29834, pooja07: Wake up
29835, pooja07: Beee
29836,Ram Tej: Boooo9o
29837,Ram Tej: I came to study
29838,Ram Tej: I wwil go back in some time
29839,pooja07: Ok ok
29840,pooja07: Baby
29841,pooja07: Baby
29842,pooja07: upsiddownupsiddownupsiddown
29843,pooja07: Baby!!!
29844,pooja07: whatwhatwhat
29845,pooja07: Blue ticked mee
29846,pooja07: crycrycrylol
29847,pooja07: Missed voice call
29848,pooja07: Cutting the call
29849,pooja07: whatwhatwhat
29850,pooja07: Online and ignoring me
29851,Ram Tej: no
29852,Ram Tej: i am openng account
29853,pooja07: For
29854,pooja07: Dei
29855,pooja07: Ram tej
29856,Ram Tej: Can u send me 400 for biryani
29857,Ram Tej: I will pay u back
29858,Ram Tej: 3400
29859,Ram Tej: Tell me na
29860,Ram Tej: I asked every one
29861,Ram Tej: Sorry
29862,Ram Tej: To bother h so much
29863, Ram Tej: Dad sent it
29864, Ram Tej: Just now
29865, Ram Tej: Thanks
29866, pooja07: media
29867,Ram Tej: I love you
29868,Ram Tej: Baby
29869,Ram Tej: My exam went crazy
29870,pooja07: Yay
29871,pooja07: I got a nightmare about u
29872,pooja07: cry
29873,Ram Tej: Ubin office
29874,pooja07: Yes
29875,Ram Tej: Bo
29876,Ram Tej: U back home
29877,Ram Tej: I miss u
29878,Ram Tej: I love you
29879,pooja07: Hi
29880,pooja07: Yeah
29881,pooja07: Jaakuu bdd
29882,pooja07: *bee
29883, pooja07: Missed voice call
29884, pooja07: This message was deleted
29885, pooja07: This message was deleted
29886, pooja07: Missed voice call
29887, pooja07: Missed voice call
29888, pooja07: This message was deleted
29889, pooja07: This message was deleted
29890, pooja07: This message was deleted
29891, Ram Tej: media
29892, Ram Tej: media
29893, Ram Tej: U just told me
29894, Ram Tej: Talk now
29895, Ram Tej: Now
29896, Ram Tej: Niw
29897, Ram Tej: Now
29898, Ram Tej: Now
29899, Ram Tej: I am stiiting here in frount of. Them
29900, Ram Tej: I told u 10 check
29901, Ram Tej: I copy pasted what ever juthu
29902, Ram Tej: Sent
29903, Ram Tej: media
29904, Ram Tej: This is what juthu sent
29905, Ram Tej: U wanted that I'd so that i can open zerodha
29906, Ram Tej: Type
29907, Ram Tej: 2 min
29908, Ram Tej: I will walk to my room
29909, Ram Tej: Hold
29910, pooja07: Cutting the call on my face now
29911, pooja07: Ok cool
29912, Ram Tej: Sorry
29913, Ram Tej: U want to fight
29914, pooja07: I don't want sorry
29915, pooja07: U know I'll be available only for sometime
29916," pooja07: I don't want to fight, don't put it on me"
29917, pooja07: Two mins not over for you?
29918," pooja07: Yeah keep your phone on silent now, runaway"
29919, Ram Tej: I can't fight
29920, Ram Tej: In frount
29921, Ram Tej: Of them na
29922, Ram Tej: So talk
29923, Ram Tej: Na
29924,pooja07: Babe
29925,pooja07: silentsilentsilent
29926,Ram Tej: What
29927,Ram Tej: Happened
29928,Ram Tej: Baby bo
29929,pooja07: Hiupsiddown
29930,Ram Tej: Back from office
29931,pooja07: On ma way
29932,pooja07: What r u doing
29933,pooja07: media
29934,pooja07: D
29935,pooja07: I
29936,pooja07: Da
29937,pooja07: Fha
29938,Ram Tej: I love you
29939,Ram Tej: Reach home and call
29940,pooja07: I love you too
29941,pooja07: media
29942,pooja07: silentwhat
29943,pooja07: U blue ticked my gif
29944,pooja07: crycrycry
29945,Ram Tej: no
29946,Ram Tej: i am here only tro exam cancelled
29947,pooja07: Lol
29948,pooja07: See
29949,pooja07: U should talk to your gf
29950,pooja07: Such good things will happen
29951,pooja07: lollollollol
29952,Ram Tej: i am talking
29953,Ram Tej: i am her only
29954,pooja07: Ur her?
29955,pooja07: Oooooo
29956,Ram Tej: ya
29957,Ram Tej: ya
29958,Ram Tej: that is good
29959,Ram Tej: they did not tell they will give free marks
29960,Ram Tej: they cancled to put it on another date
29961,pooja07: Ok
29962,pooja07: Cool
29963,pooja07: It's a good news anyways
29964,pooja07: whatwhatwhatwhy do u want miracles to happen
29965,Ram Tej: no
29966,Ram Tej: i want exam to get over fast
29967,Ram Tej: that is a hit exam
29968,Ram Tej: really shit
29969,Ram Tej: what is family business
29970,Ram Tej: and its charactics is for 16 marks
29971,Ram Tej: that is what we get
29972,pooja07: Family business is now of your businesslollollol
29973,pooja07: That's what it is
29974,Ram Tej: True story
29975,pooja07: heartBBY I love you booo
29976,pooja07: Missed voice call
29977,pooja07: Bee
29978,pooja07: Bee
29979,pooja07: Bee
29980,pooja07: I'm home
29981,pooja07: Missed voice call
29982, pooja07: Babe
29983, pooja07: Missed voice call
29984, pooja07: Missed voice call
29985, pooja07: I'm sleepy 
29986, pooja07: Ok busy boy
29987," pooja07: Good night tc, I love you"
29988, Ram Tej: Playing call of duty
29989,"pooja07: whatnot even telling good night, u just don't care anymore"
29990,pooja07: good morning kiss
29991,Ram Tej: Booooo
29992,Ram Tej: Good
29993,Ram Tej: Morning
29994,Ram Tej: No balannse
29995,Ram Tej: Rey
29996,Ram Tej: Jakku be i love u
29997,pooja07: Jakku bee
29998,pooja07: Today let's play pubg
29999,pooja07: Last working day
30000,pooja07: I got holiday
30001,pooja07: silentsilentsilentsilent
30002,pooja07: Jakkakaaaaaaaa
30003,pooja07: Yayayayayayyaaya
30004,pooja07: Missed voice call
30005,pooja07: Missed voice call
30006,pooja07: Where is jakku beeee
30007,pooja07: heart
30008,pooja07: heart
30009,pooja07: heart
30010,pooja07: heart
30011,pooja07: heart
30012,pooja07: heart
30013,pooja07: heart
30014,pooja07: Missed voice call
30015,pooja07: *balance
30016,pooja07: Missed voice call
30017,Ram Tej: Yo
30018,Ram Tej: Wait
30019,pooja07: I'm calling from that time
30020,pooja07: crycrycrycry
30021,pooja07: Ur talking to someone else
30022,Ram Tej: I am at bornfire
30023,pooja07: aaawwwaaaaaawwwaaawhat bonfire
30024,Ram Tej: media
30025,Ram Tej: Delhi is to cold
30026,pooja07: aaawwwaaaaaawwwaaaaaawwwaaa
30027,pooja07: Lol
30028,pooja07: lollollol
30029,pooja07: I'll make it hot for you
30030,pooja07: aaawwwaaa
30031,pooja07: Ok give me attention when u come backlollollollol
30032,pooja07: crycrycrycry
30033,pooja07: Blue ticking me
30034,pooja07: Holiday holiday holiday
30035,pooja07: Yayayayayayayay
30036,pooja07: Office gave holiday
30037,pooja07: Yayayayayayyaaya
30038,pooja07: I will do romantic talks with youlollollollol
30039,pooja07: Yayayayayayyaaya
30040,pooja07: Missed voice call
30041, Ram Tej: Andhara food time
30042, Ram Tej: Baby bo
30043, Ram Tej: Motton soup
30044, Ram Tej: First
30045, Ram Tej: And then
30046, Ram Tej: Motton curry
30047, Ram Tej: And
30048, Ram Tej: Then come andhara meals
30049, Ram Tej: With dal
30050, Ram Tej: Rise
30051, Ram Tej: Rise
30052, Ram Tej: Rice
30053, Ram Tej: Sambar
30054, Ram Tej: Pickel
30055, Ram Tej: So exited
30056, Ram Tej: Wait for my pic
30057, Ram Tej: Sorry jakku be i will talk ok
30058, Ram Tej: media
30059, Ram Tej: media
30060, Ram Tej: media
30061, Ram Tej: media
30062, Ram Tej: Pache pullusu
30063, pooja07: Ok busy boy
30064," pooja07: Good night, don't forget that I love you"
30065, pooja07: upsiddown
30066," pooja07: Don't get my hopes high da, if u can't talk tell me, so that I'll know"
30067, pooja07: Good night kiss
30068,"pooja07: Tell.me the truth when ur online, ur taking practice tests for TOEFL, and ur telling me that ur not going, see if your going I can't be in your way, but tell me the truth cause I'm not going to go through such shitty trauma where suddenly u tell me your going away let me know from the beginning itself."
30069,"pooja07: Just be honest with me that's enough, u have been preparing for TOEFL, now don't tell me it's not you .do you have plan of going by any chance? Be clear."
30070,"pooja07: You told will study for cat, but I don't see you preparing for that, but I am see you preparing for TOEFL, please let me know your future plans cause I thought we were going to be together. Even if not in this city, atleast in this country, but if ur having plans of moving away please ram don't break it in the last money and be like I changed my mind"
30071,pooja07: *can
30072,"pooja07: U have been preparing seriously? Like everywhere there is TOEFL search literally everywhere don't tell me Kaushik was searching on your laptop, please don't lie, this is a matter of our future together too, I know u literally are spacing away from me so that it will be easier for you, that's why no calls no text, but I have the right to know wtf is going on, your I love yous won't work if there is something so big. I feel like it's a hindrance. Please tell me the truth rn, and not in the last moment"
30073, Ram Tej: Good morning
30074, Ram Tej: Today koushik is giving the exam
30075, Ram Tej: Not me
30076, Ram Tej: Jakku be
30077, Ram Tej: Ok u don't believe me
30078, Ram Tej: Hello
30079, Ram Tej: I am not giving any exam
30080, Ram Tej: Kaushik is giving
30081, Ram Tej: And i love you
30082, pooja07: silent
30083, pooja07: I'm so embarrassed
30084, pooja07: I'm sorry
30085, pooja07: I love you too
30086, Ram Tej: Chill out don't over think or don't think so much
30087, pooja07: silentok
30088," pooja07: Yeah, you're right."
30089, pooja07: media
30090, Ram Tej: Lol
30091, Ram Tej: U only
30092, pooja07: lollollol
30093, Ram Tej: What are u upto
30094, pooja07: Whatever u upto
30095, pooja07: lol
30096," pooja07: I'm gonna have bath, wanna join?"
30097, pooja07: 
30098, Ram Tej: media
30099, Ram Tej: I am here in my friends flat
30100, pooja07: Emaar emarald
30101, Ram Tej: And kaushik is at exam center
30102, Ram Tej: Yesterday i slept peacfully
30103, pooja07: media
30104, Ram Tej: Full power andhara food
30105, pooja07: Yeah
30106, pooja07: I got biryani
30107,Ram Tej: media
30108,Ram Tej: Fish yaaaaaa
30109,Ram Tej: 
30110,pooja07: media
30111,pooja07: U have my sister's zomato lollollolshe thought someone is misusing
30112,pooja07: Then she saw two fish curries then she thought maybe it was ulollol
30113,Ram Tej: Lol
30114,Ram Tej: Ya
30115,Ram Tej: That's what happened
30116,Ram Tej: Fish curry
30117,Ram Tej: The fish
30118,Ram Tej: Ya
30119,pooja07: lollollol
30120,pooja07: Lol
30121,Ram Tej: What is bo up to
30122,pooja07: I was watching sims fat to fitlol
30123,Ram Tej: Oooo
30124,Ram Tej: Lol
30125,Ram Tej: What happened to your dp again
30126,pooja07: What I'm learning in a fun way
30127,pooja07: I didn't know what to put
30128,pooja07: Too much pressure
30129,Ram Tej: A
30130,Ram Tej: Ok
30131,Ram Tej: Lol
30132,Ram Tej: Answer
30133,pooja07: upsiddown
30134,Ram Tej: Jakku be
30135,Ram Tej: J will sleep now
30136,Ram Tej: For some time
30137,pooja07: But how
30138,pooja07: silentsilentsilent
30139,pooja07: How will u sleepsilentsilentsilent
30140,Ram Tej: Aaaaaaa
30141,Ram Tej: Be bo
30142,Ram Tej: Be bo
30143,Ram Tej: Be bo
30144,Ram Tej: Be bo
30145,Ram Tej: Be bo
30146,Ram Tej: Be bo
30147,pooja07: Boobu
30148,Ram Tej: Be bo
30149,pooja07: Booby
30150,Ram Tej: Be bo
30151,pooja07: lollollollol
30152,Ram Tej: Be bo
30153,Ram Tej: Be bo
30154,pooja07: Boobiessss
30155,pooja07: lol
30156,Ram Tej: I Love you
30157,Ram Tej: I am sleeping
30158,pooja07: I love you too
30159,pooja07: Oklol
30160,pooja07: Watch udtha Punjab when u have time
30161,Ram Tej: Why
30162,"pooja07: Just watch,"
30163,pooja07: It's about drugs and stuff
30164,Ram Tej: Ok
30165,pooja07: And kind of funny
30166,Ram Tej: Ok
30167,pooja07: Shahid kapoor
30168,Ram Tej: Trying to sleep
30169,pooja07: And Alia Bhatt
30170,Ram Tej: Ooooooo
30171,pooja07: Then don'tupsiddownlol
30172,Ram Tej: Sleep
30173,pooja07: Alia Bhatt tries to sell cocaine
30174,pooja07: And gets caughtlol
30175,pooja07: media
30176,Ram Tej: Ya
30177,Ram Tej: Ilove u bo
30178,Ram Tej: Biggest best friend a
30179,pooja07: lollollolI love you
30180,Ram Tej: Can ju send me 250 rs
30181,Ram Tej: For food if i ask my parents they will kill me because i took 1500 and spent of food food already
30182,Ram Tej: Plez tell me fast
30183,pooja07: Done
30184,pooja07: Eat something healthy also
30185,pooja07: Missed voice call
30186, pooja07: Squabby
30187, pooja07: Squabby
30188, pooja07: Missed voice call
30189, pooja07: Called u to tell good nightwhat
30190, Ram Tej: media
30191," pooja07: Go Rey, still not telling good night"
30192, pooja07: Fine I still love youwhathearttake
30193, Ram Tej: media
30194," pooja07: Oh god, ur gonna sleep like a baby"
30195, pooja07: Wait
30196," pooja07: If u had weed, then don't take Benadryl"
30197, pooja07: Missed voice call
30198, pooja07: Bababbaabyyy
30199, pooja07: Bababay
30200, pooja07: Listen to me
30201, pooja07: .
30202, pooja07: If you had weed don't take Benadryl
30203, Ram Tej: Why
30204, Ram Tej: Already took
30205, pooja07: Fuck u
30206, Ram Tej: Why what happened
30207, pooja07: Benadryl outs u to sleep
30208, pooja07: It's a sedative
30209, pooja07: Weed also puts u to sleep
30210, Ram Tej: What does this mean
30211, pooja07: It's also a sedative
30212, Ram Tej: So
30213, pooja07: Sedatives makes u sleeo
30214, Ram Tej: Good
30215, pooja07: No
30216, pooja07: High dose
30217, pooja07: Please drink water
30218, pooja07: So that it will be diluted a little in your tummy
30219, Ram Tej: Just drank half cap
30220, pooja07: Please
30221, pooja07: Pleaaaaaassseee
30222, pooja07: silent
30223,Ram Tej: Jakku
30224,Ram Tej: Be
30225,Ram Tej: I wokr up
30226,Ram Tej: My noce is block
30227,Ram Tej: Good night
30228,Ram Tej: I love you
30229,Ram Tej: Sd
30230,Ram Tej: T.care
30231,Ram Tej: Don't let bed bugs bite
30232,Ram Tej: I love you so much
30233,pooja07: lollollolgood morning nose blocked baby
30234,pooja07: Take steam
30235,pooja07: Just boil water and put Tulsi or just steam in hot water
30236,pooja07: media
30237,Ram Tej: Good morning
30238,Ram Tej: Baby bo
30239,Ram Tej: This is like discribing me
30240,Ram Tej: kiss
30241,pooja07: lollolheart
30242,pooja07: I know
30243,pooja07: Missed voice call
30244,pooja07: Ei
30245,pooja07: Jakkkaaaa raaamm tejj
30246,pooja07: The ignorer
30247,pooja07: Missed voice call
30248,pooja07: what
30249,pooja07: This message was deleted
30250,pooja07: This message was deleted
30251,pooja07: This message was deleted
30252,pooja07: I need sims!!!!!!
30253,pooja07: Download sims
30254,pooja07: This message was deleted
30255,pooja07: This message was deleted
30256,pooja07: This message was deleted
30257,pooja07: Missed voice call
30258,pooja07: This message was deleted
30259,pooja07: This message was deleted
30260,pooja07: This message was deleted
30261,pooja07: I need sims
30262,pooja07: This message was deleted
30263,pooja07: Download sims
30264,pooja07: This message was deleted
30265,pooja07: This message was deleted
30266,pooja07: Missed voice call
30267,pooja07: This message was deleted
30268,pooja07: This message was deleted
30269,pooja07: This message was deleted
30270,pooja07: Missed voice call
30271,pooja07: Missed voice call
30272,pooja07: Missed voice call
30273,Ram Tej: Oey come on call of duty
30274,Ram Tej: Fast
30275,pooja07: Missed voice call
30276,pooja07: Missed voice call
30277,pooja07: Missed voice call
30278,pooja07: Missed voice call
30279,pooja07: Missed voice call
30280,pooja07: Missed voice call
30281,pooja07: Missed voice call
30282, pooja07: Ei jakka
30283," pooja07: All my frnds r playing psych, I wanted to play with u"
30284," pooja07: Ok ignore me more, I'll exist when u need m, good night"
30285, pooja07: Missed voice call
30286, Ram Tej: yo studying
30287, Ram Tej: what happened
30288," pooja07: , I've been calling u so many times what will happen if u pick the call once"
30289, pooja07: Missed voice call
30290, pooja07: Psycho ram tej gd goenka
30291, pooja07: Should have stopped texting u long time agowhat
30292,pooja07: https://youtu.be/xGJX9H5k0gQ
30293,Ram Tej: Exam done
30294,Ram Tej: Jakku be
30295,Ram Tej: Came back to falt
30296,Ram Tej: What are u doing
30297,Ram Tej: Jakku be i love you
30298,pooja07: media
30299, pooja07: Missed voice call
30300, Ram Tej: Bo i love you
30301, Ram Tej: I drank drun
30302, Ram Tej: Rum
30303, Ram Tej: And i am sorry
30304, Ram Tej: I love u so much and i am drinking now
30305, Ram Tej: I don't feel cold only
30306, Ram Tej: I am drunk baby no
30307, pooja07: Ok. Good night
30308,Ram Tej: Gm
30309,Ram Tej: Baby bo
30310,pooja07: This message was deleted
30311,pooja07: This message was deleted
30312,pooja07: This message was deleted
30313,pooja07: This message was deleted
30314,pooja07: This message was deleted
30315,pooja07: Missed voice call
30316,pooja07: Missed voice call
30317,pooja07: This message was deleted
30318,pooja07: This message was deleted
30319,pooja07: This message was deleted
30320,pooja07: This message was deleted
30321,pooja07: This message was deleted
30322,pooja07: This message was deleted
30323,pooja07: This message was deleted
30324,pooja07: This message was deleted
30325,pooja07: This message was deleted
30326,pooja07: This message was deleted
30327,pooja07: This message was deleted
30328,pooja07: This message was deleted
30329,"pooja07: I give up, u win."
30330, Ram Tej: Happy xmus
30331, Ram Tej: Yesterday i wan not well
30332, Ram Tej: That rum fucked me totally
30333, Ram Tej: Was puking the whole day
30334, Ram Tej: I will never dink again
30335, Ram Tej: This is why i hate drinking
30336, Ram Tej: Sorry
30337, Ram Tej: Hangover was to the core
30338, Ram Tej: Happy Christmas
30339, Ram Tej: I love u so much
30340, Ram Tej: Sorry
30341, Ram Tej: U should never
30342, Ram Tej: I am sorry
30343, Ram Tej: Sorry
30344, Ram Tej: I was not at all well
30345, Ram Tej: So fucked
30346, Ram Tej: And it is to cold in delhi
30347, Ram Tej: I am sorry
30348, Ram Tej: I am sorry
30349, Ram Tej: Ok
30350, Ram Tej: Don't pick
30351, pooja07: U ok now?
30352, Ram Tej: Call me when ever u want
30353, Ram Tej: Ya
30354, Ram Tej: That's whh i called
30355, Ram Tej: Yesterday i wanted to call u
30356, Ram Tej: I saw your messages
30357, pooja07: lolur getting angry and all
30358, pooja07: Cool
30359, Ram Tej: But the hangour
30360, Ram Tej: Was getting me hard
30361, Ram Tej: Like v hard
30362, pooja07: How much did u drink
30363, Ram Tej: Room was felt sufficient
30364, Ram Tej: This is the first time i got hangour
30365, Ram Tej: I puked my guts out
30366, Ram Tej: Yestefdsy
30367, pooja07: Go eat something
30368, Ram Tej: Even water did not dtay
30369, Ram Tej: But u say hi
30370, Ram Tej: I will eat
30371, Ram Tej: Old monk
30372, pooja07: Hi
30373, pooja07: Go eat
30374, Ram Tej: 2 bottle 3 people
30375, Ram Tej: That is bad
30376, Ram Tej: I hate alcohol
30377, Ram Tej: For this reasone
30378, Ram Tej: Shit
30379, Ram Tej: Alcohol
30380, Ram Tej: It should be banned
30381, Ram Tej: Like drugd
30382, pooja07: what
30383,Ram Tej: https://youtu.be/svLfcVDFUNk
30384,pooja07: what
30385,pooja07: U cut my call
30386,pooja07: Missed voice call
30387,"pooja07: I didn't even shout at u, ur simply shouting at me, yeah I have a problem with u doing hash and weed everyday"
30388,pooja07: Fucking addict
30389,"pooja07: Don't talk to me , first learn how to treat a girl"
30390,pooja07: Bye
30391,Ram Tej: U shouted at me
30392,Ram Tej: Don't
30393,Ram Tej: Dont
30394,Ram Tej: Argue
30395,pooja07: I didn't shout
30396,Ram Tej: I cut the call
30397,Ram Tej: So u will shout
30398,Ram Tej: Seriously
30399,pooja07: Fucking u cut the call
30400,Ram Tej: V irritated i am
30401,Ram Tej: So
30402,pooja07: Me too
30403,Ram Tej: I was talking to u
30404,pooja07: Not telling anything
30405,pooja07: Just like that cutting the call just for weed
30406,Ram Tej: Ya
30407,Ram Tej: Not telling
30408,Ram Tej: Fine
30409,pooja07: If ppl tell u to choose between me n weed
30410,pooja07: U will choose weed
30411,Ram Tej: Stay on the call and listen
30412,"pooja07: Only when I call u will have all the work in this word,u could have told someone else to do it but no."
30413,pooja07: I thought u were buying food
30414,pooja07: .
30415,pooja07: U shouldn't have called me in the morning
30416,"pooja07: I shouldn't have picked ur call,"
30417,pooja07: U do whatever u want
30418,"pooja07: Don't be so disrespectful, knock ur fucking self off"
30419,"pooja07: U will never change, and u shouldn't expect u to. Addict."
30420,pooja07: Fucking pick the call Rey bloody noob
30421,pooja07: Missed voice call
30422,Ram Tej: Neveru
30423,Ram Tej: U payed for my hash
30424,Ram Tej: Never u payed
30425,Ram Tej: So that is what u understand
30426,pooja07: I never told I payed
30427,"pooja07: My problem is u always have time for your fucking friends and not me, always time for everything in your life except me always doing everything, u never even fucking think wtf is she doing, I not fucking alone I choose to be alone! Put that in your fucking brain, fucking doing weed and hash all the time u fucking addict don't u dare put everything on me I called to tell you I love you.u see Rey I won't call u, my fault to love you, my fault to care for you, ITS ALL MY FUCKING FAULT, u never had the fucking ego to tell u to fuck off whenever u ignored me, go do this to someone else and see what that girl does ok, I shouldn't have picked your call in the morning, I shouldn't have talked to u"
30428,"pooja07: Ur always shouting at me, go eat something and fuck ofd"
30429,"pooja07: I'm sorry I called u so many times I'm sorry I text u whenever u come to my mind, I'm sorry I always pick ur call and text u immediately. I'm sorry I care so much and I'm sorry I'm so fucking emotional. I'm sorry to even think about you."
30430,pooja07: media
30431,pooja07: Lies! U will make me happy?LIES! IM YOUR FIRST PRIORITY! WELL ITS A FUCKING LIE!!!
30432,pooja07: This message was deleted
30433,pooja07: media
30434,pooja07: media
30435,pooja07: TRUTH
30436,pooja07: media
30437,pooja07: media
30438,pooja07: media
30439,"pooja07: Don't ignore me so much Rey, I'm missing you, that's all, I can't.tell anything more than this, u do as u wish."
30440,Ram Tej: i cooked alu curry
30441,Ram Tej: and i am stitting for rice to be done
30442,Ram Tej: I did not want u to stay alone
30443,Ram Tej: That why i asked u to stay on the call
30444,Ram Tej: And u had to fight
30445,Ram Tej: Every one here would want same thing and i am the one who can plan a thing
30446,Ram Tej: Fast and eazy
30447,Ram Tej: And that's what happened
30448,Ram Tej: And u got mad at me
30449,Ram Tej: Don't think so much rey
30450,Ram Tej: Their friend is comming from us
30451,Ram Tej: So they obv can make him drink
30452,Ram Tej: That won't be new
30453,Ram Tej: But they want to make him smoke up
30454,Ram Tej: And nthing is a lie
30455,Ram Tej: I love you
30456,Ram Tej: I love you so much
30457,Ram Tej: kisskisskisskisskisskiss
30458,pooja07: https://youtu.be/MwkWipIvjdg
30459,Ram Tej: So u
30460,Ram Tej: That's me for sure
30461,Ram Tej: I love you
30462,Ram Tej: So u
30463,Ram Tej: U saw his face
30464,Ram Tej: When he told her she is crazy
30465,pooja07: Whose?
30466,Ram Tej: He was shit scared
30467,pooja07: Lol
30468,Ram Tej: Yo my what's app colour changed
30469,pooja07: To what
30470,Ram Tej: It went from light green to dark one
30471,Ram Tej: Why
30472,pooja07: What
30473,Ram Tej: media
30474,Ram Tej: My what's app is tripping balls
30475,pooja07: lollollollol
30476,pooja07: U fed weed to ur phone too
30477,Ram Tej: Now it is back to normal
30478,Ram Tej: I think so
30479,Ram Tej: Hi cute girl
30480,pooja07: silent
30481,pooja07: Huh
30482,pooja07: Wrong chat?
30483,Ram Tej: No
30484,pooja07: media
30485,Ram Tej: Jakku be
30486,Ram Tej: What are u doing
30487,pooja07: YouTube.
30488,pooja07: What about you
30489,Ram Tej: Me playing clash of clans
30490,pooja07: Is clash of clans fun?
30491,Ram Tej: Na to much stratigy game
30492,Ram Tej: media
30493,Ram Tej: This is how it looks
30494,Ram Tej: And that is my base
30495,pooja07: Cool
30496,Ram Tej: Since my 10th grade
30497,Ram Tej: I was playing that game
30498,pooja07: Whoa
30499,pooja07: Really
30500,Ram Tej: To much effort needed
30501,Ram Tej: I was pushing to rank in that
30502,Ram Tej: Now i am in master
30503,pooja07: Nice
30504,Ram Tej: media
30505,Ram Tej: Now i am in master
30506,Ram Tej: V hard to reach master
30507,pooja07: Whoa
30508,pooja07: Looks serious
30509, Ram Tej: Yo
30510, Ram Tej: U slept of a
30511,pooja07: silentgood morning
30512, pooja07: media
30513,Ram Tej: Good morning booooooo
30514,Ram Tej: My friend
30515,Ram Tej: Friend
30516,Ram Tej: Shit happened
30517,pooja07: silent
30518,pooja07: What happened
30519,Ram Tej: That fellow
30520,Ram Tej: Missed flight
30521,Ram Tej: At chigo
30522,pooja07: lol
30523,pooja07: Lol
30524,Ram Tej: Need help
30525,Ram Tej: Can u send 500
30526,Ram Tej: He did not calll since 2 days
30527,Ram Tej: From chago. After missing the flight
30528,pooja07: What
30529,pooja07: What happened to him
30530,pooja07: Is he alright
30531,pooja07: Why
30532,Ram Tej: To send kaushik to airport
30533,Ram Tej: Don't know
30534,Ram Tej: I told i will pay but last night we spent that money for this guy petrol
30535,pooja07: Ok
30536,pooja07: Please check on the other guy
30537,pooja07: Did he have drugs on him?
30538,Ram Tej: No
30539,Ram Tej: Thanks
30540,Ram Tej: I sent it
30541,pooja07: God
30542,pooja07: Ok
30543,Ram Tej: Rey
30544,Ram Tej: Since last night
30545,Ram Tej: No sleep
30546,Ram Tej: Because of this guy
30547,pooja07: Ok
30548,Ram Tej: Slept at 7 and woke up now and still in this tension
30549,Ram Tej: Fuck life
30550,pooja07: God
30551,pooja07: Kaushik went to find him??
30552,pooja07: Or he is going home?
30553,Ram Tej: He is with me
30554,pooja07: No
30555,pooja07: Like r u guys going to find the guy
30556,pooja07: Or going home
30557,Ram Tej: Going to send kaushik
30558,Ram Tej: Home
30559,Ram Tej: That guy called itsems
30560,Ram Tej: Now
30561,Ram Tej: We got the news
30562,pooja07: Hi
30563,pooja07: What r u upto?
30564,Ram Tej: Nthing
30565,Ram Tej: Tmro exam mkt
30566,Ram Tej: https://youtu.be/femR2wbTHaQ
30567,pooja07: what
30568,Ram Tej: https://www.google.co.in/url?sa=t&source=web&rct=j&url=https://www.happymod.com/&ved=2ahUKEwjt7pDkydPmAhVJWH0KHSkYCZUQFjAAegQIBxAD&usg=AOvVaw11SYHAiUuLH3vyBdCaIkKJ&cshid=1577372352194
30569,pooja07: Jakku beeheartheartheart
30570,pooja07: My loveeerrrrrlolheart
30571,pooja07: Good morning baby booooo
30572,pooja07: It's not paining so much todaysmileyayayayayay
30573,pooja07: 
30574,pooja07: media
30575,pooja07: Rey
30576,pooja07: Blue ticker
30577, pooja07: Baby
30578, pooja07: U blue ticking bitch
30579, pooja07: I love you so muchheart
30580, Ram Tej: I am studying
30581, Ram Tej: Rey
30582, pooja07: media
30583, pooja07: See! If I scold only u will see
30584, pooja07: media
30585," pooja07: Hence proved, ppl only react to bad stuff"
30586," pooja07: Ok. All the best, I love you so muchsmile"
30587,"pooja07: Hey babe, good morning"
30588,"pooja07: Listen, I know u will get mad at me for this, but u have been doing weed literally everyday, now I don't care if u don't talk to me, but u need to stop until next year atleast, just cause ur going home, doesn't mean u have to do more, so please stop, don't do it everyday, and don't fight with me for weed.just stop"
30589,Ram Tej: U are eating this good and u are feeling bad that i fid not call
30590,Ram Tej: Seriously
30591,Ram Tej: I will kill to eat that
30592,Ram Tej: Sorry
30593,Ram Tej: I love you rey
30594,Ram Tej: media
30595,Ram Tej: What ever i wroght short. Forms came for 40 marks
30596,Ram Tej: U woke up so early
30597,pooja07: That's your answer?
30598,pooja07: And that's what u think? So that's how ur behaving. U have something good in life then u don't want me for that day. Cool
30599,Ram Tej: media
30600,"pooja07: Again, never answering"
30601,pooja07: U guys took a pic of the Scorpion?
30602,pooja07: Missed voice call
30603, pooja07: Hey boo
30604, pooja07: I'm sleepy
30605, pooja07: Missed voice call
30606, pooja07: Missed voice call
30607," pooja07: Ok, good night."
30608," pooja07: I'm sleeping alone, I can't sleepsad"
30609," pooja07: Ok, ur right, I've been overthinking and annoying u like a lot lately."
30610," pooja07: It's cause u know, it's going to be our 6 years into this relationship. I'm really scared. I don't want to lose you, it would kill me. 6th year was when my sis broke up. I can't imagine being without you. And I'm freaking the fuck out."
30611," pooja07: So the more u ignore me the more I have the feeling to be needy and clingy, to show u how much I love you and make u feel the love. I don't know. I'm feeling really insecure that's what I wanted to talk about when u were in the cab"
