,chart
803, Ram Tej: heart
804, Ram Tej: heart
805, Ram Tej: heart
806, Ram Tej: heart
807, Ram Tej: heart
808, Ram Tej: heart
809, Ram Tej: heart
810, Ram Tej: heartheartheart
811, Ram Tej: heart
812, Ram Tej: heartheartheartheart
813, pooja07: I love you
814, Ram Tej: heartheartheart
815, Ram Tej: heartheart
816, Ram Tej: heart
817, Ram Tej: heart
818, pooja07: A lot
819, Ram Tej: heartheartheart
820, Ram Tej: heartheart
821, Ram Tej: heart
822, Ram Tej: heart
823, pooja07: Like a lot
824, Ram Tej: heartheartheart
825, Ram Tej: heartheartheart
826, Ram Tej: heart
827, Ram Tej: heartheartheart
828, Ram Tej: heartheartheart
829, Ram Tej: heart
830, Ram Tej: heartheart
831, Ram Tej: heart
832, Ram Tej: heart
833, Ram Tej: heartheartheart
834, Ram Tej: heart
835, Ram Tej: heartheartheart
836, Ram Tej: heartheartheartheart
837, Ram Tej: heartheart
838, Ram Tej: heartheartheart
839, Ram Tej: heart
840, Ram Tej: heart
841, Ram Tej: heartheartheart
842, Ram Tej: heartheart
843, Ram Tej: heart
844, Ram Tej: heartheartheart
845, Ram Tej: heart
846, Ram Tej: heartheartheart
847, Ram Tej: heartheart
848, Ram Tej: heart
849, Ram Tej: heartheartheart
850, Ram Tej: heart
851, Ram Tej: heartheart
852, Ram Tej: heart
853, Ram Tej: Now
854, Ram Tej: Gone
855, Ram Tej: Ok leave nice
856, pooja07: See
857, pooja07: I told you
858, Ram Tej: What happens
859, pooja07: annoyedannoyedannoyed
860, Ram Tej: Happened
861, Ram Tej: To your internet
862, pooja07: No current jakku mekku
863, pooja07: Jakkkaaaaaa
864, pooja07: I love you
865, pooja07: Ok
866, Ram Tej: Ok
867, Ram Tej: Booo
868, pooja07: I'm going to sleep
869, pooja07: I'll talk to.you tomorrow
870, pooja07: Bye
871, pooja07: Good night
872, pooja07: Take care
873, pooja07: Sweet dreams
874, pooja07: Don't let the bed bugs bite
875, Ram Tej: But u made your home sweet home with that baby
876, Ram Tej: I love you
877, Ram Tej: Good night
878, Ram Tej: Sd
879, Ram Tej: The.care
880, Ram Tej: T.care
881, Ram Tej: Don't let bed bugs bite
882, Ram Tej: kisskisskisskiss
883, Ram Tej: heart
884, Ram Tej: heart
885, Ram Tej: heart
886, pooja07: I tried to download gifslol
887, pooja07: Not enough net
888, pooja07: Ok
889, pooja07: I love you
890, Ram Tej: Lol
891, Ram Tej: Lol
892, Ram Tej: Nice
893," pooja07: Good night darlingheartheartheartlovelovemy sweet heart, my sweet pie"
894," pooja07: My bava, my life, my everything"
895," pooja07: Sleep nicley, sweet dreams"
896,pooja07: Good morning boo
897,pooja07: Booooooooooooo
898, Ram Tej: Booooo
899, Ram Tej: Good morning boooo
900, Ram Tej: kisskisskiss
901, Ram Tej: heart
902, pooja07: heartheartheartheartheartheartlovelovelovelovelovelovelovelovelovelovelovelovelove
903, pooja07: Booooooooo
904, Ram Tej: Boooooo
905, Ram Tej: What are I don't
906, Ram Tej: Doing boo
907, pooja07: I'm in college
908, pooja07: Suprajas is looking in finally your talking to me
909, pooja07: heartheartlove
910, pooja07: I love you so much
911, pooja07: Booooooooooooo
912," pooja07: I don't know, I love you so much, u come to Chennai"
913, Ram Tej: Rey
914, Ram Tej: Pooju
915, Ram Tej: Pooju
916, Ram Tej: Pooju
917, Ram Tej: Pooju
918, pooja07: Jakkkuu
919, Ram Tej: I Love you to booooo
920, pooja07: Come here
921, pooja07: crycrycrycryI'm missing you
922, Ram Tej: heart
923, pooja07: crycry
924, Ram Tej: kisskisskisskiss
925, Ram Tej: Don't baby
926, Ram Tej: I Love you na
927, pooja07: heartheartheartheartheartheartheart
928, pooja07: smilesmilesmilesmile
929, pooja07: I love youuuu
930, pooja07: This Shiva and supraja are romancing in the hallwaysmilelollolcrycrycrycrycryI'm missing you more
931, pooja07: Blue ti k
932, Ram Tej: Nooooo
933, Ram Tej: Bo
934, Ram Tej: Rey
935, Ram Tej: Don't worry
936, Ram Tej: We will also bo
937, Ram Tej: heart
938, Ram Tej: kiss
939, pooja07: heartloveshy
940,Ram Tej: media
941,Ram Tej: Out fit of the day
942,pooja07: heartheartloveheartshyheartshyloveshyheartshyheartshyheart
943,pooja07: Booo
944,pooja07: My baby
945,pooja07: Can u play with me today?
946,pooja07: Ram tej
947,pooja07: shyheartshyshylove
948,pooja07: Ur making me so happy
949,Ram Tej: Boooo
950,Ram Tej: Ok we will play
